Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	SRR30861169	SRR30861170	SRR30861171	SRR30861166	SRR30861167	SRR30861168	external_gene_name	gene_biotype
ENSG00000003137	200.9924139	0.979210399	0.358819924	2.728974434	0.006353163	0.040208449	131.0446188	121.4732741	137.4018124	325.4606338	233.516182	257.0579622	CYP26B1	protein_coding
ENSG00000003249	398.7070572	-0.041916793	0.292787733	-0.143164442	0.886160311	0.967412717	396.5187728	452.2417166	356.5673794	406.8257922	358.0897233	421.9989591	DBNDD1	protein_coding
ENSG00000003393	2704.635781	0.776061863	0.220569992	3.518438101	0.000434095	0.004404638	2233.561233	1710.475022	2264.710859	2766.415387	3550.58276	3702.069426	ALS2	protein_coding
ENSG00000003402	701.4272509	0.471971297	0.242479715	1.946436205	0.051602364	0.196927086	610.7356219	544.9882029	621.6948203	813.6515844	790.0709769	827.4222991	CFLAR	protein_coding
ENSG00000003436	2123.721394	1.280421171	0.229560515	5.577706465	2.44E-08	6.49E-07	1298.840761	1159.741462	1362.406703	2196.859278	3428.377537	3296.102623	TFPI	protein_coding
ENSG00000003509	292.6021378	0.215906229	0.309646405	0.697267029	0.485635698	0.778695385	274.6617841	258.5410902	290.2855192	284.7780546	323.9859402	323.3604387	NDUFAF7	protein_coding
ENSG00000003756	1010.713689	-0.147318747	0.232861104	-0.632646433	0.526964558	0.804515607	1169.24682	941.4178746	1149.530656	895.0167429	994.693676	914.3763666	RBM5	protein_coding
ENSG00000004059	517.7499829	-0.276500239	0.35428395	-0.780448109	0.43512716	0.741418841	404.2557244	768.2363824	373.9845106	732.286426	420.1396622	407.5971917	ARF5	protein_coding
ENSG00000004139	267.5736469	-0.636408115	0.326087743	-1.951646844	0.050980148	0.195369224	358.8011334	325.8438502	290.2855192	244.0954753	186.1498165	200.2660868	SARM1	protein_coding
ENSG00000004142	1261.806215	-1.183082357	0.247600726	-4.77818614	1.77E-06	3.49E-05	1645.069347	2086.38556	1438.364748	895.0167429	759.2828393	746.7180551	POLDIP2	protein_coding
ENSG00000004399	2494.508187	-2.69256737	0.225082654	-11.96257163	5.58E-33	9.74E-31	4431.339065	4099.723002	4312.675197	895.0167429	585.9219415	642.3731741	PLXND1	protein_coding
ENSG00000004455	1859.56525	-0.522086862	0.213380827	-2.446737453	0.014415581	0.07578388	2096.230341	2466.399924	1987.971997	1464.572852	1573.510663	1568.705725	AK2	protein_coding
ENSG00000004478	1555.877748	-0.347767818	0.262442784	-1.325118616	0.185131813	0.459367514	1505.320658	2101.980102	1391.435255	1871.398644	1279.839196	1185.292633	FKBP4	protein_coding
ENSG00000004487	2317.433694	-0.529414151	0.203019727	-2.607698071	0.009115332	0.053361001	2707.449523	2761.054691	2801.25526	1627.303169	2005.96558	2001.573943	KDM1A	protein_coding
ENSG00000004534	1017.490873	0.103344485	0.236546837	0.436888045	0.662192542	0.883204498	951.1614951	972.6069585	1060.025954	813.6515844	1149.108028	1158.391219	RBM6	protein_coding
ENSG00000004700	854.2454475	0.491316699	0.283084919	1.735580623	0.082638015	0.27382693	779.4978801	631.9893317	836.5061045	569.5561091	1179.422502	1128.500758	RECQL	protein_coding
ENSG00000004766	373.9769053	1.145481217	0.315742768	3.627893754	0.000285743	0.003118483	250.4838101	178.9268498	257.8703029	650.9212676	453.7697817	451.8894198	VPS50	protein_coding
ENSG00000004779	673.3153251	-0.295626723	0.264009188	-1.119759224	0.26281638	0.56526533	812.3799247	784.6516898	634.2738594	691.6038468	612.9207699	504.0618604	NDUFAB1	protein_coding
ENSG00000004799	91.61522123	4.734835991	0.627807732	7.541856766	4.63E-14	2.38E-12	3.868475832	4.924592195	10.15999317	40.68257922	244.4104461	245.6452408	PDK4	protein_coding
ENSG00000004838	19.54237582	-2.136233816	1.030267433	-2.073475048	0.038128091	0.156899823	25.14509291	49.24592195	25.64188753	0	8.525945794	8.695406756	ZMYND10	protein_coding
ENSG00000004864	918.744346	-0.034436128	0.244572432	-0.14080135	0.888026877	0.967584153	974.8559096	934.0309864	972.9402985	650.9212676	978.115448	1001.602166	SLC25A13	protein_coding
ENSG00000004866	240.0629085	0.60899297	0.331315197	1.838107567	0.066046556	0.23435978	200.1936243	189.5967995	198.8455806	244.0954753	296.5134482	311.132523	ST7	protein_coding
ENSG00000004961	323.3471862	-0.971013702	0.328377911	-2.957000665	0.003106474	0.022548084	403.2886055	527.7521303	372.0492738	162.7303169	235.4108366	238.8519543	HCCS	protein_coding
ENSG00000004975	634.0267503	-0.412472883	0.292688598	-1.409255044	0.158759767	0.415889888	645.5519044	783.010159	616.8567283	813.6515844	446.1911632	498.8989626	DVL2	protein_coding
ENSG00000005001	94.87897047	4.328329031	0.630084681	6.86944019	6.45E-12	2.74E-10	7.736951664	8.207653659	6.289519583	325.4606338	107.9953134	113.5837507	PRSS22	protein_coding
ENSG00000005020	843.2434567	-0.246829234	0.231987016	-1.063978662	0.287338366	0.592872941	832.6894228	935.6725171	909.0774843	854.3341637	772.5454217	755.1417304	SKAP2	protein_coding
ENSG00000005022	2744.545382	0.245543789	0.225353658	1.089593091	0.275892428	0.580530249	2036.752525	3059.813284	2093.442403	3417.336655	3007.290547	2852.636879	SLC25A5	protein_coding
ENSG00000005059	248.4992267	0.529631857	0.327540795	1.61699509	0.105879341	0.322208986	178.9170072	219.9651181	187.7179691	325.4606338	290.3558207	288.5788117	MCUB	protein_coding
ENSG00000005073	8.143376058	-0.328995661	1.467241687	-0.224227313	0.822580432	0.948248006	5.319154269	15.59454195	8.224756377	0	11.84159138	7.880212372	HOXA11	protein_coding
ENSG00000005075	239.4583356	-0.22165694	0.41119474	-0.539055874	0.589848302	0.843742029	164.4102229	336.5138	177.0741667	366.143213	217.8852814	174.7233295	POLR2J	protein_coding
ENSG00000005108	641.5058782	0.463013015	0.258945943	1.788068231	0.073765	0.253051576	542.5537354	481.7892698	616.3729191	650.9212676	766.3877942	791.0102833	THSD7A	protein_coding
ENSG00000005156	1082.001272	-0.786936301	0.226660161	-3.471877443	0.000516832	0.00510633	1465.185221	1276.290144	1366.760986	895.0167429	739.8626295	748.8919068	LIG3	protein_coding
ENSG00000005175	615.9593284	0.288003547	0.273724851	1.052164414	0.292724123	0.599559981	528.046951	554.016622	620.7272019	447.5083714	762.5984849	782.8583395	RPAP3	protein_coding
ENSG00000005187	7.30276395	2.823386452	2.270950471	1.243262012	0.213771298	0.499123385	0	0	0.967618397	40.68257922	1.894654621	0.271731461	ACSM3	protein_coding
ENSG00000005189	278.2530455	-0.352234201	0.313200906	-1.124627017	0.26074712	0.562216805	341.8765516	304.5039507	303.8321768	244.0954753	236.358164	238.8519543	REXO5	protein_coding
ENSG00000005194	530.990422	-0.215191142	0.301391077	-0.713993075	0.475231462	0.771718207	514.0237261	652.5084659	453.3292191	691.6038468	436.7178901	437.7593839	CIAPIN1	protein_coding
ENSG00000005238	270.9754656	0.607282235	0.332467668	1.826590351	0.067761385	0.238550461	159.5746281	247.8711405	182.3960679	406.8257922	312.6180124	316.5671522	ATOSB	protein_coding
ENSG00000005302	259.1808934	-0.845915744	0.327050849	-2.586496094	0.009695727	0.055923977	309.4780665	350.4668112	341.5692943	162.7303169	183.7814982	207.0593734	MSL3	protein_coding
ENSG00000005339	1925.111434	-0.845842421	0.217982657	-3.880319799	0.000104319	0.001317423	2463.251986	2208.6796	2781.419083	1261.159956	1354.678054	1481.479926	CREBBP	protein_coding
ENSG00000005436	577.9703131	0.358120211	0.267329436	1.339621317	0.18036849	0.452758568	527.0798321	461.2701356	572.8300912	528.8735299	718.547765	659.2205247	GCFC2	protein_coding
ENSG00000005448	127.030698	0.50500971	0.487278326	1.036388616	0.300020879	0.608255825	102.998169	117.3694473	67.73328781	244.0954753	111.7846226	118.2031856	WDR54	protein_coding
ENSG00000005469	143.3929752	0.318551213	0.459183735	0.693733661	0.487849252	0.779573391	160.0581875	123.1148049	151.9160884	40.68257922	202.2543808	182.3318104	CROT	protein_coding
ENSG00000005483	1525.939243	0.311992327	0.243290311	1.282386981	0.199706929	0.479343224	1303.676355	1286.139328	1540.932298	1179.794797	1821.236754	2023.855922	KMT2E	protein_coding
ENSG00000005486	407.8498608	-0.387875536	0.290204152	-1.336560946	0.181365994	0.454146102	414.4104735	517.9029459	412.2054373	406.8257922	331.090895	364.6636208	RHBDD2	protein_coding
ENSG00000005513	18.05847667	-1.31954304	1.047597867	-1.259589278	0.207817566	0.490347787	24.17797395	26.26449171	32.89902551	0	14.68357331	10.32579552	SOX8	protein_coding
ENSG00000005700	2561.013808	0.67893916	0.236878831	2.86618756	0.00415448	0.028424167	2177.468334	1639.889201	2304.867022	2359.589595	3494.690448	3389.578246	IBTK	protein_coding
ENSG00000005801	1451.327568	0.718816818	0.247326905	2.906342993	0.003656804	0.025616844	1130.562062	920.8987405	1314.993402	1383.207694	1967.598824	1990.704684	ZNF195	protein_coding
ENSG00000005810	1744.250139	-0.276589633	0.25213784	-1.096977878	0.272651063	0.577689289	2018.377265	1451.933932	2365.343172	1342.525114	1625.140001	1662.181348	MYCBP2	protein_coding
ENSG00000005812	272.6215417	0.067249272	0.358120919	0.187783701	0.851046213	0.956493199	291.5863658	223.2481795	332.8607287	162.7303169	314.9863307	310.3173286	FBXL3	protein_coding
ENSG00000005882	160.0988114	-0.380284539	0.396455553	-0.959211029	0.337452446	0.648871204	173.597853	215.0405259	158.6894172	122.0477377	140.6781056	150.5392295	PDK2	protein_coding
ENSG00000005889	1203.946361	-0.754381918	0.229465597	-3.287560007	0.001010596	0.008980222	1685.204784	1291.063921	1630.436999	895.0167429	846.4369519	875.5187677	ZFX	protein_coding
ENSG00000005893	2367.770685	0.674860232	0.20264333	3.330285939	0.000867568	0.00796013	2046.423715	1729.352626	1899.434914	2481.637333	3013.448175	3036.327346	LAMP2	protein_coding
ENSG00000005961	21.77990275	0.95741922	0.940691799	1.017782041	0.308781549	0.618322189	20.30949812	14.77377659	10.15999317	40.68257922	20.84120083	23.91236858	ITGA2B	protein_coding
ENSG00000005981	337.9035064	5.411872613	0.370041434	14.62504497	1.94E-48	6.34E-46	19.82593864	13.13224585	18.86855875	488.1909507	737.9679748	749.4353697	ASB4	protein_coding
ENSG00000006007	1974.014189	-0.098465572	0.21314794	-0.461958823	0.64411085	0.875006185	1909.576382	2327.690578	1832.185435	1830.716065	1963.809515	1980.107157	GDE1	protein_coding
ENSG00000006047	572.9271565	-0.799010973	0.268288196	-2.97818161	0.002899641	0.021289203	697.2927687	828.9730195	650.239563	406.8257922	402.6141069	451.6176884	YBX2	protein_coding
ENSG00000006062	626.7070248	-0.68633177	0.276065504	-2.486119271	0.012914467	0.06964028	830.2716254	781.3686283	807.9613618	284.7780546	539.0292396	516.833239	MAP3K14	protein_coding
ENSG00000006118	441.4898864	-0.6246474	0.2744602	-2.275912499	0.022851247	0.106940628	528.5305105	562.2242756	505.0968034	366.143213	342.9324864	344.0120298	TMEM132A	protein_coding
ENSG00000006125	10667.9049	-0.347817475	0.177181911	-1.96305296	0.049640021	0.1913307	12122.35258	11934.74919	11815.58825	10048.59707	8973.084285	9113.058011	AP2B1	protein_coding
ENSG00000006194	241.2214856	-0.407648901	0.329873637	-1.235772898	0.216542992	0.502993106	266.4412729	290.5509395	266.0950593	203.4128961	210.7803266	210.0484194	ZNF263	protein_coding
ENSG00000006210	68.37059143	-0.375241676	0.552541545	-0.679119389	0.497062218	0.785620494	80.75443299	82.89730195	77.89328098	40.68257922	66.31291173	61.68304167	CX3CL1	protein_coding
ENSG00000006327	602.3987229	0.174790057	0.318952291	0.548013174	0.583682857	0.8403796	467.6020162	733.7642371	391.4016417	854.3341637	603.4474968	563.8427818	TNFRSF12A	protein_coding
ENSG00000006377	23.25165143	-2.777835756	0.95274942	-2.915599526	0.003550059	0.025012474	44.00391259	44.32132976	39.18854509	0	7.104954828	4.8911663	DLX6	protein_coding
ENSG00000006432	412.2297587	-0.388354155	0.333200569	-1.165526686	0.243805865	0.539737519	588.4918859	388.2220181	550.0910589	162.7303169	387.9305336	395.9127388	MAP3K9	protein_coding
ENSG00000006451	703.5820614	-0.619771024	0.243286459	-2.547494946	0.010849942	0.061067891	798.8402593	910.2287907	819.5727825	569.5561091	562.7124224	560.5820043	RALA	protein_coding
ENSG00000006453	2525.365214	0.116751079	0.194602324	0.599946994	0.548541562	0.818825304	2279.499384	2542.731103	2382.760303	2522.319912	2680.936289	2743.944294	BAIAP2L1	protein_coding
ENSG00000006459	149.2621357	0.623898613	0.432264908	1.443324687	0.148929029	0.400000204	147.0020816	107.5202629	141.272286	81.36515844	203.2017081	215.2113172	KDM7A	protein_coding
ENSG00000006468	341.385465	4.224273463	0.35114206	12.03009818	2.47E-33	4.52E-31	52.70798321	30.36831854	42.57520948	406.8257922	746.020257	769.8152293	ETV1	protein_coding
ENSG00000006530	517.2882448	0.058164096	0.259179934	0.224415891	0.822433706	0.948248006	513.5401667	492.4592195	517.6758426	528.8735299	537.6082487	513.5724615	AGK	protein_coding
ENSG00000006534	61.24111243	0.628557721	0.603568141	1.041403078	0.297688514	0.605987305	38.20119884	67.30276	41.60759108	40.68257922	93.78540373	85.86714171	ALDH3B1	protein_coding
ENSG00000006576	1382.724172	0.016138025	0.251169747	0.064251469	0.948769996	0.987312873	1380.562312	1291.063921	1553.995146	895.0167429	1608.088109	1567.618799	PHTF2	protein_coding
ENSG00000006607	876.449089	-0.818027434	0.275798341	-2.966034642	0.003016665	0.021994204	1287.235333	1035.805892	1213.39347	325.4606338	681.6019999	715.1972056	FARP2	protein_coding
ENSG00000006625	297.9628458	0.055025059	0.345428967	0.15929486	0.87343657	0.964075147	205.0292191	281.5225205	284.4798088	488.1909507	283.7245295	244.8300465	GGCT	protein_coding
ENSG00000006634	987.7378548	0.634359698	0.241193164	2.630089869	0.00853623	0.050630341	662.9600457	732.1227064	892.1441623	976.3819013	1365.572318	1297.245995	DBF4	protein_coding
ENSG00000006652	219.9208534	1.088750152	0.412161381	2.641562755	0.008252452	0.049487709	170.2129366	112.4448551	189.1693967	122.0477377	364.2473509	361.4028433	IFRD1	protein_coding
ENSG00000006695	253.6719323	0.362379175	0.330968846	1.094904186	0.273558615	0.578608831	194.87447	220.7858834	210.4570014	366.143213	268.0936289	261.6773971	COX10	protein_coding
ENSG00000006704	412.1230088	-0.151019552	0.276374086	-0.546431664	0.584769249	0.840577131	398.9365702	453.062482	425.7520948	406.8257922	395.5091521	392.6519613	GTF2IRD1	protein_coding
ENSG00000006715	1282.80161	-0.178633678	0.225263835	-0.792997589	0.427779227	0.735730092	1506.287777	1316.507647	1409.820005	935.6993221	1249.998386	1278.496525	VPS41	protein_coding
ENSG00000006744	853.5008983	-0.216226264	0.262992265	-0.822177274	0.410976011	0.721835726	866.5385863	998.0506849	784.254711	1057.74706	676.3916997	738.0226484	ELAC2	protein_coding
ENSG00000006756	224.3706286	-2.12995725	0.377303505	-5.645209287	1.65E-08	4.46E-07	360.2518118	421.8733981	342.5369126	40.68257922	92.83807642	88.0409934	ARSD	protein_coding
ENSG00000006831	1403.099914	-0.301588265	0.219902781	-1.371461806	0.170231042	0.435513442	1591.394245	1560.274961	1583.507507	1017.064481	1363.677663	1302.680625	ADIPOR2	protein_coding
ENSG00000006837	11.99256482	-0.453487259	1.237038621	-0.366591028	0.713924102	0.908211985	10.15474906	14.77377659	19.83617714	0	12.78891869	14.40176744	CDKL3	protein_coding
ENSG00000007341	334.8093151	0.179793527	0.297746572	0.603847512	0.545945028	0.816883968	285.7836521	330.7684424	293.6721836	406.8257922	350.5111049	341.2947152	ST7L	protein_coding
ENSG00000007372	9.066857618	1.41689277	1.576806925	0.898583554	0.368874522	0.682883616	0.483559479	1.641530732	3.386664391	40.68257922	3.315645587	4.8911663	PAX6	protein_coding
ENSG00000007376	192.8300239	-1.384528406	0.431537777	-3.208359681	0.001334944	0.01130731	249.0331317	389.8635488	225.4550866	40.68257922	125.047205	126.8985923	RPUSD1	protein_coding
ENSG00000007384	170.8455285	-0.400906479	0.392445443	-1.021559775	0.306989304	0.616332627	197.7758269	193.7006263	169.3332195	203.4128961	123.626214	137.2243879	RHBDF1	protein_coding
ENSG00000007392	534.5126051	-0.5054709	0.278785585	-1.813117063	0.069813768	0.24371654	557.0605198	645.1215776	582.9900844	610.2386883	413.0347074	398.6300535	LUC7L	protein_coding
ENSG00000007402	7.284476317	-1.580924024	1.535697008	-1.029450482	0.303268038	0.611625305	13.05610593	10.66994976	13.06284836	0	2.841981931	4.075971917	CACNA2D2	protein_coding
ENSG00000007516	77.08018119	1.653387092	0.645396914	2.561814374	0.010412696	0.059037487	31.91492561	27.08525707	29.51236112	244.0954753	55.41864766	74.45442034	BAIAP3	protein_coding
ENSG00000007520	291.2835345	-1.245694292	0.346750654	-3.59247857	0.000327548	0.003500367	356.8668955	531.8559571	329.4740643	162.7303169	188.5181348	178.2558385	TSR3	protein_coding
ENSG00000007541	183.1738852	-1.519031339	0.406579092	-3.736127533	0.000186876	0.002174583	237.9112637	289.7301742	236.5826981	162.7303169	82.41747601	89.67138217	PIGQ	protein_coding
ENSG00000007545	226.4029811	-0.513634715	0.342971727	-1.497600747	0.134237013	0.373681997	250.4838101	253.6164981	298.0264664	162.7303169	200.3597262	193.2010689	CRAMP1	protein_coding
ENSG00000007866	132.829813	0.433367835	0.425176778	1.019265062	0.308077146	0.617481916	108.8008828	100.1333746	112.2437341	203.4128961	126.4681959	145.9197946	TEAD3	protein_coding
ENSG00000007923	1144.645332	-0.367787876	0.218291144	-1.68485019	0.092017479	0.2939347	1253.38617	1318.149178	1287.900087	976.3819013	988.0623848	1043.992274	DNAJC11	protein_coding
ENSG00000007944	124.7824247	-0.940421696	0.510620806	-1.841722243	0.065515789	0.233095985	179.4005667	176.4645537	183.3636863	0	96.15372201	113.3120193	MYLIP	protein_coding
ENSG00000007968	214.2487619	-0.226545131	0.347587315	-0.651764669	0.514552997	0.797251427	225.3387172	250.3334366	228.3579418	162.7303169	208.4120083	210.3201509	E2F2	protein_coding
ENSG00000008018	1715.459787	-0.675418915	0.21201569	-3.185702505	0.00144403	0.011988884	2184.238167	2248.076337	1948.783452	1261.159956	1388.308173	1262.192637	PSMB1	protein_coding
ENSG00000008083	154.4520172	0.310530313	0.40524034	0.766286774	0.443505686	0.747358352	117.0213939	130.5016932	131.1122928	244.0954753	142.5727602	161.4084879	JARID2	protein_coding
ENSG00000008086	46.65426143	-2.222493846	0.732187875	-3.03541471	0.002402052	0.018286022	76.40239768	79.61424049	86.60184656	0	14.20990966	23.09717419	CDKL5	protein_coding
ENSG00000008128	41.31110074	-0.298789872	0.686568979	-0.435192793	0.663422493	0.883880108	40.61899623	41.85903366	50.31615666	40.68257922	33.63011952	40.75971917	CDK11A	protein_coding
ENSG00000008130	428.4770622	-0.709580993	0.296465302	-2.393470631	0.016689817	0.084908433	610.7356219	553.1958566	516.7082242	203.4128961	325.4069311	361.4028433	NADK	protein_coding
ENSG00000008226	8.526298203	-0.40872737	1.850651722	-0.22085591	0.825204628	0.948613705	1.450678437	6.566122927	0.967618397	40.68257922	0.94732731	0.543462922	DLEC1	protein_coding
ENSG00000008256	510.1076974	-0.954161365	0.274191327	-3.479910819	0.000501581	0.004989265	652.3217371	642.6592815	668.1405033	447.5083714	318.77564	331.2406511	CYTH3	protein_coding
ENSG00000008277	266.0154845	1.140790161	0.346083345	3.296287374	0.000979717	0.008758913	208.4141354	142.8131737	198.3617714	244.0954753	400.2457887	402.1625624	ADAM22	protein_coding
ENSG00000008282	903.4897564	0.238213515	0.267297568	0.891192226	0.372826054	0.686691866	1017.409144	692.7259688	957.4584041	650.9212676	1076.637488	1025.786266	SYPL1	protein_coding
ENSG00000008283	333.6011843	-0.376330394	0.348023537	-1.081336043	0.27954766	0.584592449	393.6174159	450.6001859	354.6321426	122.0477377	339.1431771	341.5664466	CYB561	protein_coding
ENSG00000008300	315.3090237	-0.071356869	0.3130601	-0.22793345	0.819697978	0.947765687	361.7024903	288.9094088	360.437853	244.0954753	316.8809853	319.8279297	CELSR3	protein_coding
ENSG00000008324	139.5546382	0.282783748	0.44633418	0.633569556	0.526361774	0.804326871	115.087156	109.1617937	118.5332537	244.0954753	142.5727602	107.8773901	SS18L2	protein_coding
ENSG00000008394	186.4302517	2.906339854	0.39398837	7.376714832	1.62E-13	8.01E-12	42.55323415	51.70821805	44.02663708	203.4128961	396.4564794	380.4240456	MGST1	protein_coding
ENSG00000008405	620.3047241	0.14692453	0.25012738	0.587398826	0.556935882	0.823496763	612.1863004	584.3849405	606.2129259	569.5561091	689.1806183	660.3074505	CRY1	protein_coding
ENSG00000008513	168.945037	2.685585342	0.395858518	6.784205016	1.17E-11	4.82E-10	41.10255571	46.78362585	39.18854509	366.143213	253.8837192	266.5685634	ST3GAL1	protein_coding
ENSG00000008516	10.73084991	0.222660435	1.305289067	0.170583238	0.864551479	0.960415048	13.53966541	9.84918439	12.57903917	0	11.84159138	16.57561913	MMP25	protein_coding
ENSG00000008517	6.522747387	-1.924350651	1.612257005	-1.193575618	0.232644016	0.524404103	10.63830854	14.77377659	8.708565576	0	2.841981931	2.173851689	IL32	protein_coding
ENSG00000008710	1125.933576	-1.52991406	0.261560803	-5.84917174	4.94E-09	1.45E-07	1808.028892	1448.650871	1687.042676	813.6515844	459.9274092	538.3000245	PKD1	protein_coding
ENSG00000008853	64.19989151	-0.106102607	0.585709757	-0.181152193	0.856248119	0.958252936	61.41205383	73.04811756	55.15424865	81.36515844	45.4717109	68.74805966	RHOBTB2	protein_coding
ENSG00000008869	624.7244733	0.261257255	0.253235362	1.031677618	0.302223166	0.61077823	644.101226	503.1291693	609.5995903	650.9212676	670.2340721	670.3615146	HEATR5B	protein_coding
ENSG00000008952	1406.352702	-0.074437062	0.221714126	-0.335734413	0.737071152	0.918521666	1307.544831	1350.159027	1632.372236	1220.477377	1466.462677	1461.100066	SEC62	protein_coding
ENSG00000008988	4831.595035	-0.178990752	0.242190299	-0.739050048	0.459876607	0.759656469	4574.956231	6294.449591	4095.928676	5817.608829	4310.812926	3895.813958	RPS20	protein_coding
ENSG00000009307	6295.866259	-0.15811178	0.18651576	-0.847712704	0.39659799	0.708272804	6091.882316	6731.917531	6866.220147	5329.417878	6325.778116	6429.981564	CSDE1	protein_coding
ENSG00000009335	2252.059378	-0.408701977	0.198473324	-2.059228758	0.039472329	0.160940849	2766.443779	2435.210841	2627.567758	1830.716065	1944.862968	1907.554857	UBE3C	protein_coding
ENSG00000009413	2245.9827	0.054747608	0.231941014	0.236041081	0.813400793	0.945314079	2268.377516	1772.85319	2645.468698	2034.128961	2369.265603	2385.802229	REV3L	protein_coding
ENSG00000009780	175.204243	-0.503568328	0.377078994	-1.335445186	0.181730684	0.454561196	184.2361615	229.8143024	185.2989231	162.7303169	149.2040514	139.9417025	FAM76A	protein_coding
ENSG00000009830	456.2871918	-0.51198036	0.27428241	-1.866617549	0.061955015	0.22461273	511.6059288	542.5259068	514.7729874	447.5083714	362.3526962	358.9572601	POMT2	protein_coding
ENSG00000009844	745.0688909	-0.725801942	0.245372389	-2.95796094	0.003096814	0.022500239	923.5986048	888.8888912	1001.001232	488.1909507	599.1845239	569.5491425	VTA1	protein_coding
ENSG00000009950	53.39708337	-0.017180244	0.612474089	-0.028050565	0.977621822	0.994707312	54.15866165	50.88745268	60.95995903	40.68257922	58.26062959	55.43321807	MLXIPL	protein_coding
